domain,dem_prop,rep_prop,bias_score
bringmethenews.com,4.663757932663597e-05,5.04014834445918e-05,
bristowbeat.com,0.0,4.163843482797949e-05,
britannica.com,0.0005107555215303,0.0,-0.097
broadbandbreakfast.com,0.0003400693839852,0.0001812239385352,
broadstreethockey.com,0.0,7.404869107031206e-06,0.2393
broadwaynews.com,4.989480708913118e-06,0.0,
brookings.edu,0.0001414155044248,0.0,-0.4984
brookingsregister.com,0.0,7.469987302696053e-06,
brooklyneagle.com,6.477441573143885e-06,0.0,-0.5115
brooklynpaper.com,3.1950443233930296e-05,0.0,-0.6965
brooklynreporter.com,4.4416742215843785e-08,0.0,-0.2004
brooklynvegan.com,0.0,2.083782261275113e-06,-0.715
broomfieldenterprise.com,1.4805580738614592e-08,0.0,
brownfieldagnews.com,8.086808199431291e-05,0.0,0.7975
brownsvilleherald.com,0.0001797323473764,0.0,
brproud.com,9.209071219418278e-06,1.7005151667905835e-05,
brucewesterman.com,0.0,0.0004342081286932,
brunswicktimes-gazette.com,0.0,1.5488827968852962e-05,
brushnewstribune.com,0.0,2.0623862826995204e-05,
bryansteil.com,0.0,0.0004392036245606,
bu.edu,3.227616601017981e-06,0.0,-0.6211
buckforcolorado.com,0.0,0.0004453247349531,
buckrail.com,0.0,2.3749536218907875e-05,
buckscountycouriertimes.com,1.9217643798721744e-05,7.163001523133201e-05,0.1298
buckslocalnews.com,0.0,0.000209661984842,-0.0362
bucshonforcongress.com,0.0,0.0004507760581902,
buffalonews.com,0.0003168468305967,0.0001625536215782,-0.0199
buildbackbetter.gov,4.5453132867546806e-06,0.0,
bupipedream.com,1.2347854336004572e-05,0.0,
burchettforcongress.com,0.0,0.0004477806211896,
burgessforcongress.org,0.0,0.0003224746075317,
burlingtoncountytimes.com,0.0002150066434861,1.8605198761384943e-08,0.045
burlingtonfreepress.com,2.894491034399153e-06,0.0,-0.334
businessinsider.com,0.0008450951457697,0.0005881289380461,-0.0373
businessinsider.com.au,1.5286762112619566e-05,2.4456533771840503e-05,-0.0362
businessinsider.in,5.350736878935314e-05,9.037475298342736e-05,-0.0057
businessjournaldaily.com,5.315203485162639e-05,2.5861226278325065e-05,
businesswire.com,7.124445451421343e-05,7.959304030120478e-05,0.0983
bustle.com,7.839555001096427e-06,6.539727364626806e-05,-0.3879
butlereagle.com,6.455233202035963e-06,8.592811047945635e-05,
butlerradio.com,1.8669837311393e-05,8.368618402870946e-05,
buzzfeednews.com,0.0006306807255131,4.771303222357168e-05,
bw.edu,1.9839478189743558e-06,0.0,
bxtimes.com,1.5027664449693812e-05,0.0,-0.5178
byu.edu,4.195901581323376e-05,0.0,
