domain,cmpt_rank,is_home_district,category,counts
abc30.com,0.0,False,news,52
abc30.com,0.0,True,news,1
abc30.com,1.0,False,news,533
abc30.com,1.0,True,news,1
abc30.com,2.0,False,news,1727
abc30.com,2.0,True,news,3
abc30.com,3.0,False,news,3699
abc30.com,3.0,True,news,8
abc30.com,4.0,False,news,7791
abc30.com,4.0,True,news,19
abc30.com,5.0,False,news,8113
abc30.com,5.0,True,news,23
abc30.com,6.0,False,news,12592
abc30.com,6.0,True,news,28
abc30.com,7.0,False,news,15686
abc30.com,7.0,True,news,31
abc30.com,8.0,False,news,14120
abc30.com,8.0,True,news,35
abc30.com,9.0,False,news,7913
abc30.com,9.0,True,news,18
abc30.com,10.0,False,news,1603
abc30.com,10.0,True,news,3
abc30.com,11.0,False,news,317
abc30.com,12.0,False,news,62
abc30.com,12.0,True,news,1
abc30.com,13.0,False,news,1
abc3340.com,1.0,False,news,524
abc3340.com,2.0,False,news,38
abc3340.com,2.0,True,news,1
abc3340.com,3.0,False,news,4322
abc3340.com,3.0,True,news,9
abc3340.com,4.0,False,news,2824
abc3340.com,4.0,True,news,7
abc3340.com,5.0,False,news,8559
abc3340.com,5.0,True,news,17
abc3340.com,6.0,False,news,14736
abc3340.com,6.0,True,news,31
abc3340.com,7.0,False,news,3056
abc3340.com,7.0,True,news,12
abc3340.com,8.0,False,news,1308
abc3340.com,8.0,True,news,4
abc3340.com,9.0,False,news,107
abc3340.com,10.0,False,news,8
abc4.com,0.0,False,news,3
abc4.com,1.0,False,news,187
abc4.com,2.0,False,news,238
abc4.com,2.0,True,news,1
abc4.com,3.0,False,news,799
abc4.com,3.0,True,news,2
abc4.com,4.0,False,news,4658
abc4.com,4.0,True,news,6
abc4.com,5.0,False,news,3396
abc4.com,5.0,True,news,11
abc4.com,6.0,False,news,4285
abc4.com,6.0,True,news,12
abc4.com,7.0,False,news,1240
abc4.com,7.0,True,news,3
abc4.com,8.0,False,news,81
abc4.com,9.0,False,news,435
abc4.com,9.0,True,news,2
abc4.com,10.0,False,news,430
abc4.com,11.0,False,news,3
abc57.com,1.0,False,news,544
abc57.com,1.0,True,news,1
abc57.com,2.0,False,news,196
abc57.com,2.0,True,news,1
abc57.com,3.0,False,news,357
abc57.com,4.0,False,news,1297
abc57.com,4.0,True,news,5
abc57.com,5.0,False,news,5714
abc57.com,5.0,True,news,12
abc57.com,6.0,False,news,4151
abc57.com,6.0,True,news,12
abc57.com,7.0,False,news,3038
abc57.com,7.0,True,news,5
abc57.com,8.0,False,news,1164
abc57.com,8.0,True,news,3
abc57.com,9.0,False,news,1
abc57.com,10.0,False,news,10
abc57.com,11.0,False,news,51
abc6.com,1.0,False,news,2
abc6.com,2.0,False,news,7
abc6.com,3.0,False,news,1224
abc6.com,3.0,True,news,3
abc6.com,4.0,False,news,2704
abc6.com,4.0,True,news,3
abc6.com,5.0,False,news,8592
abc6.com,5.0,True,news,7
abc6.com,6.0,False,news,4281
abc6.com,6.0,True,news,13
abc6.com,7.0,False,news,1187
abc6.com,8.0,False,news,227
abc6.com,8.0,True,news,1
abc6onyourside.com,1.0,False,news,181
abc6onyourside.com,2.0,False,news,463
abc6onyourside.com,2.0,True,news,1
abc6onyourside.com,3.0,False,news,1491
abc6onyourside.com,3.0,True,news,4
abc6onyourside.com,4.0,False,news,2384
abc6onyourside.com,4.0,True,news,6
abc6onyourside.com,5.0,False,news,20200
abc6onyourside.com,5.0,True,news,40
