domain,serp_rank,is_home_district,category,counts
710keel.com,19.0,False,news,24
710keel.com,20.0,False,news,15
710keel.com,21.0,False,news,86
710keel.com,22.0,False,news,11
710keel.com,23.0,False,news,10
710keel.com,24.0,False,news,40
710keel.com,25.0,False,news,143
710keel.com,25.0,True,news,1
710keel.com,28.0,False,news,25
83degreesmedia.com,7.0,False,news,4
83degreesmedia.com,8.0,False,news,89
83degreesmedia.com,9.0,False,news,2798
83degreesmedia.com,9.0,True,news,4
83degreesmedia.com,10.0,False,news,2731
83degreesmedia.com,10.0,True,news,4
83degreesmedia.com,11.0,False,news,1343
83degreesmedia.com,11.0,True,news,2
83degreesmedia.com,12.0,False,news,567
83degreesmedia.com,12.0,True,news,1
83degreesmedia.com,13.0,False,news,112
83degreesmedia.com,14.0,False,news,36
83degreesmedia.com,19.0,False,news,160
83degreesmedia.com,20.0,False,news,961
83degreesmedia.com,20.0,True,news,3
83degreesmedia.com,21.0,False,news,105
83degreesmedia.com,22.0,False,news,56
83degreesmedia.com,23.0,False,news,22
8newsnow.com,0.0,False,news,759
8newsnow.com,1.0,False,news,73
8newsnow.com,1.0,True,news,1
8newsnow.com,2.0,False,news,871
8newsnow.com,2.0,True,news,2
8newsnow.com,3.0,False,news,404
8newsnow.com,4.0,False,news,1704
8newsnow.com,4.0,True,news,4
8newsnow.com,5.0,False,news,3621
8newsnow.com,5.0,True,news,8
8newsnow.com,6.0,False,news,1662
8newsnow.com,6.0,True,news,4
8newsnow.com,7.0,False,news,12
8newsnow.com,8.0,False,news,627
8newsnow.com,8.0,True,news,2
8newsnow.com,9.0,False,news,1425
8newsnow.com,9.0,True,news,3
8newsnow.com,10.0,False,news,1560
8newsnow.com,10.0,True,news,3
8newsnow.com,11.0,False,news,1222
8newsnow.com,11.0,True,news,3
8newsnow.com,12.0,False,news,1196
8newsnow.com,12.0,True,news,4
8newsnow.com,13.0,False,news,1826
8newsnow.com,13.0,True,news,4
8newsnow.com,14.0,False,news,3078
8newsnow.com,14.0,True,news,5
8newsnow.com,15.0,False,news,1812
8newsnow.com,15.0,True,news,8
8newsnow.com,16.0,False,news,484
8newsnow.com,17.0,False,news,581
8newsnow.com,17.0,True,news,2
8newsnow.com,18.0,False,news,726
8newsnow.com,18.0,True,news,2
8newsnow.com,19.0,False,news,1742
8newsnow.com,19.0,True,news,3
8newsnow.com,20.0,False,news,4
8newsnow.com,21.0,False,news,17
8newsnow.com,22.0,False,news,775
8newsnow.com,22.0,True,news,1
8newsnow.com,23.0,False,news,1
8newsnow.com,25.0,False,news,5
8newsnow.com,26.0,False,news,670
8newsnow.com,27.0,False,news,3
8newsnow.com,27.0,True,news,1
8newsnow.com,28.0,False,news,15
8newsnow.com,29.0,False,news,52
8newsnow.com,30.0,False,news,3
8newsnow.com,31.0,False,news,9
945theanswer.com,10.0,False,other_third_party,38
945theanswer.com,11.0,False,other_third_party,211
945theanswer.com,12.0,False,other_third_party,788
945theanswer.com,13.0,False,other_third_party,354
945theanswer.com,14.0,False,other_third_party,2
945theanswer.com,22.0,False,other_third_party,23
953mnc.com,3.0,False,news,3
953mnc.com,4.0,False,news,328
953mnc.com,5.0,False,news,3
953mnc.com,6.0,False,news,494
953mnc.com,6.0,True,news,1
953mnc.com,7.0,False,news,2045
953mnc.com,7.0,True,news,2
953mnc.com,8.0,False,news,9969
953mnc.com,8.0,True,news,22
953mnc.com,9.0,False,news,11155
953mnc.com,9.0,True,news,23
953mnc.com,10.0,False,news,14025
953mnc.com,10.0,True,news,34
953mnc.com,11.0,False,news,2852
953mnc.com,11.0,True,news,11
953mnc.com,12.0,False,news,1285
953mnc.com,12.0,True,news,2
953mnc.com,13.0,False,news,767
953mnc.com,13.0,True,news,2
953mnc.com,14.0,False,news,825
953mnc.com,14.0,True,news,2
953mnc.com,15.0,False,news,59
953mnc.com,15.0,True,news,1
953mnc.com,16.0,False,news,1
953mnc.com,18.0,False,news,9
953mnc.com,20.0,False,news,5
953mnc.com,22.0,False,news,8
953mnc.com,22.0,True,news,1
953mnc.com,23.0,False,news,753
953mnc.com,23.0,True,news,1
953mnc.com,24.0,False,news,502
953mnc.com,24.0,True,news,1
953mnc.com,25.0,False,news,8
953mnc.com,26.0,False,news,15
953mnc.com,27.0,False,news,11
959watd.com,5.0,False,news,1
959watd.com,6.0,False,news,1704
959watd.com,6.0,True,news,4
