url,title,path,qry
https://www.facebook.com/RepChrissyHoulahan/,U.S. Representative Chrissy Houlahan - Home | Facebook,RepChrissyHoulahan,Chrissy Houlahan
https://www.facebook.com/SpanbergerForCongress/videos/796146327623654/,Abigail Spanberger Addresses Seventh District Following ...,SpanbergerForCongress,Abigail Spanberger
http://www.facebook.com/a1treeremoval,A1 Tree Removal & Landscaping,a1treeremoval,Bob Latta
https://www.facebook.com/repunderwood/,Rep. Lauren Underwood - Home | Facebook,repunderwood,Lauren Underwood
https://www.facebook.com/RepCloudTX/videos/congressman-cloud-on-fox-friends-first/185696872703411/,Congressman Cloud on Fox & Friends First,RepCloudTX,Michael Cloud
https://www.facebook.com/reptrentkelly,Representative Trent Kelly - Home | Facebook,reptrentkelly,Trent Kelly
https://www.facebook.com/RepRoKhanna/,Rep. Ro Khanna - Home | Facebook,RepRoKhanna,Ro Khanna
https://www.facebook.com/brendan.boyle.7165/,,brendan.boyle.7165,Brendan Boyle
https://www.facebook.com/RepMullin/posts/many-of-you-know-that-my-family-is-the-center-of-my-life-and-being-a-dad-is-the-/2561631573884983/,,RepMullin,Markwayne Mullin
https://www.facebook.com/RepRobWittman,Rep. Rob Wittman - Home | Facebook,RepRobWittman,Rob Wittman
https://www.facebook.com/ReElectNydiaVelazquezToCongress/,,ReElectNydiaVelazquezToCongress,Nydia Velázquez
https://www.facebook.com/RepRaulRuizMD/photos/,,RepRaulRuizMD,Raul Ruiz
https://www.facebook.com/TakanoCA/,,TakanoCA,Mark Takano
https://www.facebook.com/debbie.dingell/,Debbie Dingell - Home | Facebook,debbie.dingell,Debbie Dingell
https://www.facebook.com/TomReedforCongress/,Tom Reed - Home | Facebook,TomReedforCongress,Tom Reed
https://www.facebook.com/RepresentativeDougCollins/,Representative Doug Collins - Home | Facebook,RepresentativeDougCollins,Doug Collins
https://www.facebook.com/janschakowsky,Jan Schakowsky - Home | Facebook,janschakowsky,Jan Schakowsky
https://www.facebook.com/RepBenCline,Congressman Ben Cline - Home | Facebook,RepBenCline,Ben Cline
https://www.facebook.com/RepSteveScalise/,Congressman Steve Scalise - Home | Facebook,RepSteveScalise,Steve Scalise
https://www.facebook.com/RepFrenchHill/,Congressman French Hill - Home | Facebook,RepFrenchHill,French Hill
https://www.facebook.com/RepDavids/,Representative Sharice Davids - Home | Facebook,RepDavids,Sharice Davids
https://www.facebook.com/RepDebHaaland/,Congresswoman Deb Haaland - Home | Facebook,RepDebHaaland,Deb Haaland
https://www.facebook.com/RepFletcher/,Congresswoman Lizzie Fletcher - Home | Facebook,RepFletcher,Lizzie Pannill Fletcher
https://www.facebook.com/RepSusieLee/videos/641740416534450/,Rep. Susie Lee Hosts Mental Health Resources Town Hall on ...,RepSusieLee,Susie Lee
