"location","hits","keyword","geo","gprop"
"South Dakota",NA,"Terri Sewell","US","web"
"Tennessee",NA,"Terri Sewell","US","web"
"Texas",NA,"Terri Sewell","US","web"
"Utah",NA,"Terri Sewell","US","web"
"Virginia",NA,"Terri Sewell","US","web"
"Vermont",NA,"Terri Sewell","US","web"
"Washington",NA,"Terri Sewell","US","web"
"Wisconsin",NA,"Terri Sewell","US","web"
"West Virginia",NA,"Terri Sewell","US","web"
"Colorado",NA,"Terri Sewell","US","web"
"Arkansas",100,"Rick Crawford","US","web"
"Mississippi",23,"Rick Crawford","US","web"
"Illinois",10,"Rick Crawford","US","web"
"Tennessee",8,"Rick Crawford","US","web"
"Pennsylvania",5,"Rick Crawford","US","web"
"North Carolina",5,"Rick Crawford","US","web"
"Florida",2,"Rick Crawford","US","web"
"California",2,"Rick Crawford","US","web"
"Alaska",NA,"Rick Crawford","US","web"
"Wyoming",NA,"Rick Crawford","US","web"
"Georgia",NA,"Rick Crawford","US","web"
"Hawaii",NA,"Rick Crawford","US","web"
"Iowa",NA,"Rick Crawford","US","web"
"Idaho",NA,"Rick Crawford","US","web"
"District of Columbia",NA,"Rick Crawford","US","web"
"Indiana",NA,"Rick Crawford","US","web"
"Kansas",NA,"Rick Crawford","US","web"
"Kentucky",NA,"Rick Crawford","US","web"
"Louisiana",NA,"Rick Crawford","US","web"
"Massachusetts",NA,"Rick Crawford","US","web"
"Maryland",NA,"Rick Crawford","US","web"
"Maine",NA,"Rick Crawford","US","web"
"Michigan",NA,"Rick Crawford","US","web"
"Minnesota",NA,"Rick Crawford","US","web"
"Missouri",NA,"Rick Crawford","US","web"
"Connecticut",NA,"Rick Crawford","US","web"
"Montana",NA,"Rick Crawford","US","web"
"Colorado",NA,"Rick Crawford","US","web"
"North Dakota",NA,"Rick Crawford","US","web"
"Nebraska",NA,"Rick Crawford","US","web"
"New Hampshire",NA,"Rick Crawford","US","web"
"New Jersey",NA,"Rick Crawford","US","web"
"New Mexico",NA,"Rick Crawford","US","web"
"Nevada",NA,"Rick Crawford","US","web"
"New York",NA,"Rick Crawford","US","web"
"Ohio",NA,"Rick Crawford","US","web"
"Oklahoma",NA,"Rick Crawford","US","web"
"Oregon",NA,"Rick Crawford","US","web"
"Arizona",NA,"Rick Crawford","US","web"
"Rhode Island",NA,"Rick Crawford","US","web"
"South Carolina",NA,"Rick Crawford","US","web"
"South Dakota",NA,"Rick Crawford","US","web"
"Alabama",NA,"Rick Crawford","US","web"
"Texas",NA,"Rick Crawford","US","web"
"Utah",NA,"Rick Crawford","US","web"
"Virginia",NA,"Rick Crawford","US","web"
"Vermont",NA,"Rick Crawford","US","web"
"Washington",NA,"Rick Crawford","US","web"
